#SURF	CHIP	RCO	Factor
0       0       0       1.00076
0       0       1       1.00087
0       1       0       1.00112
0       1       1       1.00104
0       2       0       1.00029
0       2       1       1.00152
0       3       0       1.00136
0       3       1       1.00124
1       0       0       0.999707
1       0       1       0.999978
1       1       0       1.00184
1       1       1       1.00153
1       2       0       1.00087
1       2       1       1.00119
1       3       0       1.00122
1       3       1       1.00114
2       0       0       0.999915
2       0       1       1.00001
2       1       0       0.9997
2       1       1       1.00002
2       2       0       1.00077
2       2       1       1.00088
2       3       0       1.00099
2       3       1       1.00161
3       0       0       0.999764
3       0       1       0.999803
3       1       0       1.00014
3       1       1       1.00038
3       2       0       1.00063
3       2       1       1.00063
3       3       0       1.00148
3       3       1       1.00134
4       0       0       1.00051
4       0       1       1.00047
4       1       0       0.999939
4       1       1       1.00009
4       2       0       0.998216
4       2       1       0.998199
4       3       0       0.99859
4       3       1       0.998576
5       0       0       0.999676
5       0       1       0.99958
5       1       0       0.998081
5       1       1       0.998306
5       2       0       1.00035
5       2       1       1.00039
5       3       0       0.999559
5       3       1       0.999904
6       0       0       0.999991
6       0       1       1.00011
6       1       0       0.999547
6       1       1       0.999345
6       2       0       0.999069
6       2       1       0.999776
6       3       0       0.999942
6       3       1       0.999571
7       0       0       1.00209
7       0       1       1.00214
7       1       0       1.00115
7       1       1       1.00162
7       2       0       1.00109
7       2       1       1.00144
7       3       0       0.999828
7       3       1       0.999567
8       0       0       0.9975
8       0       1       0.99742
8       1       0       0.996847
8       1       1       0.997019
8       2       0       0.997073
8       2       1       0.997956
8       3       0       0.997739
8       3       1       0.998082
