SURF	Chip	Mean DeltaT
0	0	0.0156
0	1	0.0156
0	2	0.0156
0	3	0.0156
1	0	-0.171605
1	1	1.50427
1	2	3.33261
1	3	2.41969
2	0	-0.139643
2	1	1.58294
2	2	3.16988
2	3	0.92821
3	0	-4.48654
3	1	-3.89541
3	2	-2.30576
3	3	-0.200818
4	0	0.788607
4	1	2.31901
4	2	-0.0250893
4	3	-0.127034
5	0	-1.19305
5	1	-1.9324
5	2	-2.06194
5	3	-0.949859
6	0	-3.41707
6	1	0.643224
6	2	-2.79114
6	3	1.20921
7	0	-3.50994
7	1	-2.05178
7	2	-0.523905
7	3	0.430123
8	0	-5.31124
8	1	-3.33333
8	2	-2.90418
8	3	-0.100292
9	0	-3.78658
9	1	-3.17086
9	2	-3.16032
9	3	-3.64086
