SURF	Chip	Mean DeltaT
0	0	0.0156
0	1	0.0156
0	2	0.0156
0	3	0.0156
1	0	0.105247
1	1	1.65929
1	2	3.51157
1	3	2.42488
2	0	-0.581726
2	1	1.09569
2	2	2.83226
2	3	0.496796
3	0	3.78497
3	1	4.04436
3	2	-1.79124
3	3	-0.273523
4	0	1.11575
4	1	2.71775
4	2	0.631903
4	3	0.400445
5	0	-1.38972
5	1	-2.01702
5	2	-2.10882
5	3	-0.956582
6	0	-3.93619
6	1	0.249507
6	2	-3.1361
6	3	0.781696
7	0	-5.37572
7	1	-3.8226
7	2	-2.12514
7	3	-1.16778
8	0	2.20196
8	1	-3.34131
8	2	-2.8616
8	3	-0.216084
9	0	3.53973
9	1	-3.33702
9	2	-3.23596
9	3	-3.68152
