SURF	Chip	End RCO	Epsilon
0	0	0	1.50667
0	0	1	1.0761
0	1	0	1.60655
0	1	1	1.17056
0	2	0	1.72565
0	2	1	1.29821
0	3	0	1.66699
0	3	1	1.25893
1	0	0	1.49745
1	0	1	1.09677
1	1	0	1.74188
1	1	1	1.30875
1	2	0	1.52498
1	2	1	1.07776
1	3	0	1.61646
1	3	1	1.19946
2	0	0	1.63881
2	0	1	1.20391
2	1	0	1.68206
2	1	1	1.25456
2	2	0	1.58202
2	2	1	1.15557
2	3	0	1.68319
2	3	1	1.27885
3	0	0	1.75644
3	0	1	1.30224
3	1	0	1.5612
3	1	1	1.15883
3	2	0	1.57709
3	2	1	1.19884
3	3	0	1.56742
3	3	1	1.15127
4	0	0	1.62672
4	0	1	1.19063
4	1	0	1.49913
4	1	1	1.07081
4	2	0	1.52986
4	2	1	1.07156
4	3	0	1.8332
4	3	1	1.40926
5	0	0	1.58631
5	0	1	1.18606
5	1	0	1.60349
5	1	1	1.18916
5	2	0	1.57347
5	2	1	1.1034
5	3	0	1.61629
5	3	1	1.16164
6	0	0	1.77432
6	0	1	1.32111
6	1	0	1.68714
6	1	1	1.26603
6	2	0	1.80589
6	2	1	1.35211
6	3	0	1.79195
6	3	1	1.30324
7	0	0	1.59293
7	0	1	1.15671
7	1	0	1.75419
7	1	1	1.26677
7	2	0	1.6183
7	2	1	1.21429
7	3	0	1.55978
7	3	1	1.13788
8	0	0	1.58053
8	0	1	1.11826
8	1	0	1.75947
8	1	1	1.26068
8	2	0	1.70598
8	2	1	1.26028
8	3	0	1.59881
8	3	1	1.18787
9	0	0	1.59053
9	0	1	1.15561
9	1	0	1.74021
9	1	1	1.28377
9	2	0	1.81738
9	2	1	1.34633
9	3	0	1.6559
9	3	1	1.18249
