SURF	Chip	End RCO	Epsilon
0	0	0	1.06737
0	0	1	1.41413
0	1	0	1.01868
0	1	1	1.38513
0	2	0	1.11184
0	2	1	1.47891
0	3	0	1.08082
0	3	1	1.41087
1	0	0	1.07918
1	0	1	1.43165
1	1	0	1.11808
1	1	1	1.47666
1	2	0	1.07399
1	2	1	1.42009
1	3	0	1.14082
1	3	1	1.48963
2	0	0	1.02472
2	0	1	1.38956
2	1	0	1.0626
2	1	1	1.40794
2	2	0	1.05961
2	2	1	1.41168
2	3	0	1.05658
2	3	1	1.42812
3	0	0	1.08371
3	0	1	1.45209
3	1	0	1.06935
3	1	1	1.45361
3	2	0	1.06176
3	2	1	1.4058
3	3	0	1.06902
3	3	1	1.42025
4	0	0	1.12722
4	0	1	1.42823
4	1	0	1.05404
4	1	1	1.42111
4	2	0	1.11079
4	2	1	1.44445
4	3	0	1.14196
4	3	1	1.482
5	0	0	1.02149
5	0	1	1.40221
5	1	0	1.0433
5	1	1	1.45014
5	2	0	1.0109
5	2	1	1.33975
5	3	0	1.06571
5	3	1	1.44742
6	0	0	1.10678
6	0	1	1.46857
6	1	0	1.11829
6	1	1	1.46151
6	2	0	0.95247
6	2	1	1.38044
6	3	0	1.09349
6	3	1	1.42526
7	0	0	1.08464
7	0	1	1.43515
7	1	0	1.00212
7	1	1	1.39246
7	2	0	1.00858
7	2	1	1.41013
7	3	0	1.0684
7	3	1	1.43943
8	0	0	1.10481
8	0	1	1.44164
8	1	0	1.10599
8	1	1	1.45075
8	2	0	1.08429
8	2	1	1.40298
8	3	0	1.07449
8	3	1	1.35474

