SURF	Chip	End RCO	Epsilon
0	0	0	1.3
0	0	1	2.6
0	1	0	1.3
0	1	1	2.6
0	2	0	1.3
0	2	1	2.6
0	3	0	1.3
0	3	1	2.6
1	0	0	1.3
1	0	1	2.6
1	1	0	1.3
1	1	1	2.6
1	2	0	1.3
1	2	1	2.6
1	3	0	1.3
1	3	1	2.6
2	0	0	1.3
2	0	1	2.6
2	1	0	1.3
2	1	1	2.6
2	2	0	1.3
2	2	1	2.6
2	3	0	1.3
2	3	1	2.6
3	0	0	1.3
3	0	1	2.6
3	1	0	1.3
3	1	1	2.6
3	2	0	1.3
3	2	1	2.6
3	3	0	1.3
3	3	1	2.6
4	0	0	1.3
4	0	1	2.6
4	1	0	1.3
4	1	1	2.6
4	2	0	1.3
4	2	1	2.6
4	3	0	1.3
4	3	1	2.6
5	0	0	1.3
5	0	1	2.6
5	1	0	1.3
5	1	1	2.6
5	2	0	1.3
5	2	1	2.6
5	3	0	1.3
5	3	1	2.6
6	0	0	1.3
6	0	1	2.6
6	1	0	1.3
6	1	1	2.6
6	2	0	1.3
6	2	1	2.6
6	3	0	1.3
6	3	1	2.6
7	0	0	1.3
7	0	1	2.6
7	1	0	1.3
7	1	1	2.6
7	2	0	1.3
7	2	1	2.6
7	3	0	1.3
7	3	1	2.6
8	0	0	1.3
8	0	1	2.6
8	1	0	1.3
8	1	1	2.6
8	2	0	1.3
8	2	1	2.6
8	3	0	1.3
8	3	1	2.6
9	0	0	1.3
9	0	1	2.6
9	1	0	1.3
9	1	1	2.6
9	2	0	1.3
9	2	1	2.6
9	3	0	1.3
9	3	1	2.6
