SURF	Chan	Chip	DeltaT	RMS	Entries
0	0	0	-4.08294	0.0194416	232
0	0	1	-4.05267	0.0213887	249
0	0	2	-4.03186	0.0244239	250
0	0	3	-3.98263	0.0359225	250
0	1	0	-4.14143	0.014463	245
0	1	1	-4.11246	0.0123766	250
0	1	2	-4.09565	0.0134941	250
0	1	3	-4.08038	0.0112923	250
0	2	0	0	0	1812
0	2	1	0	0	1932
0	2	2	0	0	1919
0	2	3	0	0	1921
0	3	0	0	0	0
0	3	1	0	0	0
0	3	2	0	0	0
0	3	3	0	0	0
0	4	0	-10.3398	0.0447819	232
0	4	1	-10.4	0.0441548	250
0	4	2	-10.4028	0.0419794	250
0	4	3	-10.4594	0.0429767	250
0	5	0	-10.3889	0.0234554	245
0	5	1	-10.4667	0.0268103	250
0	5	2	-10.4786	0.0288327	250
0	5	3	-10.5806	0.0263243	250
0	6	0	-5.97986	0.0453981	1807
0	6	1	-6.08244	0.050359	1925
0	6	2	-6.13508	0.0498765	1915
0	6	3	-6.24091	0.0460685	1920
0	7	0	0	0	0
0	7	1	0	0	0
0	7	2	0	0	0
0	7	3	0	0	0
1	0	0	-6.11289	0.0486873	178
1	0	1	-6.12019	0.0479513	191
1	0	2	-6.1675	0.0404017	171
1	0	3	-6.20446	0.0471326	182
1	1	0	-6.37789	0.0545331	216
1	1	1	-6.42159	0.0500411	240
1	1	2	-6.46232	0.0505563	232
1	1	3	-6.52444	0.0530014	234
1	2	0	0	0	0
1	2	1	0	0	0
1	2	2	0	0	0
1	2	3	0	0	0
1	3	0	0	0	0
1	3	1	0	0	0
1	3	2	0	0	0
1	3	3	0	0	0
1	4	0	-11.8562	0.0486505	178
1	4	1	-11.9639	0.0502029	191
1	4	2	-12.0516	0.0468138	181
1	4	3	-12.1952	0.0503455	182
1	5	0	-11.9315	0.0559117	232
1	5	1	-12.0955	0.0571665	246
1	5	2	-12.1634	0.0545936	250
1	5	3	-12.3484	0.0592119	249
1	6	0	0	0	0
1	6	1	0	0	0
1	6	2	0	0	0
1	6	3	0	0	0
1	7	0	0	0	0
1	7	1	0	0	0
1	7	2	0	0	0
1	7	3	0	0	0
2	0	0	-7.13784	0.0530995	207
2	0	1	-7.06111	0.0507395	222
2	0	2	-6.98742	0.0539727	210
2	0	3	-6.9533	0.0529384	223
2	1	0	-7.14753	0.0487304	211
2	1	1	-7.08425	0.0481763	242
2	1	2	-7.01922	0.050129	240
