SURF	Chan	LAB	Relative Delay (ns)
0	0	0	-0.844084
0	1	0	0.57003
0	2	0	0.481423
0	3	0	0.422919
0	4	0	-0.770863
0	5	0	-2.19019
0	6	0	0
0	7	0	0.129522
1	0	0	-2.65298
1	1	0	0.535769
1	2	0	-0.750072
1	3	0	0.308757
1	4	0	-0.785009
1	5	0	0.490209
1	6	0	-0.973902
1	7	0	0.186349
2	0	0	0.522176
2	1	0	0.42662
2	2	0	-0.857029
2	3	0	0.517338
2	4	0	0.445394
2	5	0	0.362858
2	6	0	-0.995515
2	7	0	0.205983
3	0	0	-0.982173
3	1	0	0.252341
3	2	0	-0.999482
3	3	0	0.174181
3	4	0	-1.07962
3	5	0	0.385402
3	6	0	-1.10412
3	7	0	0.117318
4	0	0	-0.494838
4	1	0	0.992252
4	2	0	0.985246
4	3	0	0.853048
4	4	0	-2.31544
4	5	0	0.838488
4	6	0	0.939835
4	7	0	0.627958
5	0	0	-5.21282
5	1	0	-3.83842
5	2	0	-3.74341
5	3	0	-3.71733
5	4	0	-5.31147
5	5	0	-3.85792
5	6	0	-3.77516
5	7	0	-4.0567
6	0	0	-5.40373
6	1	0	-4.19792
6	2	0	-4.12032
6	3	0	-4.2261
6	4	0	-4.83501
6	5	0	-4.30493
6	6	0	-4.319
6	7	0	-4.16791
7	0	0	-3.84065
7	1	0	-3.89178
7	2	0	-5.332
7	3	0	-4.16596
7	4	0	-3.91397
7	5	0	-3.94619
7	6	0	-5.36175
7	7	0	-4.08472
8	0	0	-4.9257
8	1	0	-3.51017
8	2	0	-4.96669
8	3	0	-3.62184
8	4	0	-4.88023
8	5	0	-3.54346
8	6	0	-5.01097
8	7	0	-3.62497
9	0	0	-3.66197
9	1	0	-3.77614
9	2	0	-5.05274
9	3	0	-3.73206
9	4	0	-3.6551
9	5	0	-3.78185
9	6	0	-5.25974
9	7	0	-3.79705
10	0	0	-5.11232
10	1	0	-3.83957
10	2	0	-4.98808
10	3	0	-3.83214
10	4	0	-6.41618
10	5	0	-3.77191
10	6	0	-5.25644
10	7	0	-3.90218
11	0	0	-9.06502
11	1	0	-7.63537
11	2	0	-7.65676
11	3	0	-7.49451
11	4	0	-8.94175
11	5	0	-9.22159
11	6	0	-7.61042
11	7	0	-7.85889
0	0	1	-0.995196
0	1	1	0.449214
0	2	1	0.394594
0	3	1	0.371634
0	4	1	-0.80497
0	5	1	-2.19625
0	6	1	0
0	7	1	0.164903
1	0	1	-2.88897
1	1	1	0.348704
1	2	1	-0.930063
1	3	1	0.174078
1	4	1	-0.914892
1	5	1	0.41865
1	6	1	-1.04375
1	7	1	0.159396
2	0	1	0.329321
2	1	1	0.257686
2	2	1	-1.00717
2	3	1	0.388794
2	4	1	0.340152
2	5	1	0.29169
2	6	1	-1.04398
2	7	1	0.149691
3	0	1	-1.15102
3	1	1	0.120565
3	2	1	-1.10277
3	3	1	0.0938403
3	4	1	-1.15466
3	5	1	0.351854
3	6	1	-1.13435
3	7	1	0.135201
4	0	1	-0.733613
4	1	1	1.07778
4	2	1	0.803938
4	3	1	0.711367
4	4	1	-2.44307
4	5	1	0.751179
4	6	1	0.869799
4	7	1	0.580584
5	0	1	-5.44645
5	1	1	-4.04225
5	2	1	-3.9381
5	3	1	-3.86727
5	4	1	-5.45163
5	5	1	-3.97435
5	6	1	-3.87096
5	7	1	-4.11755
6	0	1	-5.62763
6	1	1	-4.39299
6	2	1	-4.30364
6	3	1	-4.356
6	4	1	-4.92857
6	5	1	-4.3652
6	6	1	-4.375
6	7	1	-4.1964
7	0	1	-4.07632
7	1	1	-4.08567
7	2	1	-5.53948
7	3	1	-4.31702
7	4	1	-4.04495
7	5	1	-4.04909
7	6	1	-5.44347
7	7	1	-4.1477
8	0	1	-5.15949
8	1	1	-3.72404
8	2	1	-5.13918
8	3	1	-3.77557
8	4	1	-5.01945
8	5	1	-3.62415
8	6	1	-5.10625
8	7	1	-3.6809
9	0	1	-3.93989
9	1	1	-4.03336
9	2	1	-5.30171
9	3	1	-3.94678
9	4	1	-3.82347
9	5	1	-3.91334
9	6	1	-5.38578
9	7	1	-3.89067
10	0	1	-5.35723
10	1	1	-4.05039
10	2	1	-5.17491
10	3	1	-3.97897
10	4	1	-6.55721
10	5	1	-3.84725
10	6	1	-5.34329
10	7	1	-3.95647
11	0	1	-9.29407
11	1	1	-7.82586
11	2	1	-7.83992
11	3	1	-7.64078
11	4	1	-9.07626
11	5	1	-9.30857
11	6	1	-7.68923
11	7	1	-7.89989
0	0	2	-1.03289
0	1	2	0.406635
0	2	2	0.386568
0	3	2	0.348121
0	4	2	-0.814111
0	5	2	-2.20601
0	6	2	0
0	7	2	0.168183
1	0	2	-2.89799
1	1	2	0.321996
1	2	2	-0.946599
1	3	2	0.165504
1	4	2	-0.900888
1	5	2	0.413393
1	6	2	-1.00872
1	7	2	0.177905
2	0	2	0.312679
2	1	2	0.246831
2	2	2	-0.999495
2	3	2	0.391005
2	4	2	0.347362
2	5	2	0.316436
2	6	2	-1.00839
2	7	2	0.205062
3	0	2	-1.17783
3	1	2	0.10085
3	2	2	-1.12151
3	3	2	0.0969775
3	4	2	-1.15365
3	5	2	0.354124
3	6	2	-1.09963
3	7	2	0.175492
4	0	2	-0.721218
4	1	2	0.810103
4	2	2	0.830334
4	3	2	0.716374
4	4	2	-2.42298
4	5	2	0.788889
4	6	2	0.905731
4	7	2	0.640165
5	0	2	-5.49549
5	1	2	-4.08023
5	2	2	-3.96912
5	3	2	-3.91013
5	4	2	-5.47563
5	5	2	-3.98382
5	6	2	-3.88287
5	7	2	-4.1362
6	0	2	-5.66274
6	1	2	-4.38983
6	2	2	-4.3032
6	3	2	-4.37601
6	4	2	-4.91429
6	5	2	-4.36268
6	6	2	-4.35119
6	7	2	-4.15699
7	0	2	-4.05671
7	1	2	-4.08153
7	2	2	-5.51437
7	3	2	-4.28332
7	4	2	-4.0128
7	5	2	-4.01509
7	6	2	-5.38278
7	7	2	-4.09001
8	0	2	-5.19769
8	1	2	-3.7667
8	2	2	-5.15774
8	3	2	-3.79029
8	4	2	-5.00461
8	5	2	-3.63195
8	6	2	-5.09366
8	7	2	-3.67413
9	0	2	-3.88283
9	1	2	-3.99138
9	2	2	-5.24693
9	3	2	-3.87495
9	4	2	-3.75444
9	5	2	-3.82932
9	6	2	-5.31212
9	7	2	-3.7998
10	0	2	-5.35826
10	1	2	-4.04624
10	2	2	-5.159
10	3	2	-3.97645
10	4	2	-6.52303
10	5	2	-3.83114
10	6	2	-5.31448
10	7	2	-3.91829
11	0	2	-9.31211
11	1	2	-7.85003
11	2	2	-7.84701
11	3	2	-7.65026
11	4	2	-9.06793
11	5	2	-9.3031
11	6	2	-7.65802
11	7	2	-7.88356
0	0	3	-1.16896
0	1	3	0.29208
0	2	3	0.26858
0	3	3	0.23475
0	4	3	-0.868437
0	5	3	-2.21409
0	6	3	0
0	7	3	0.204796
1	0	3	-2.98791
1	1	3	0.267891
1	2	3	-0.974025
1	3	3	0.15414
1	4	3	-0.861969
1	5	3	0.474324
1	6	3	-0.933846
1	7	3	0.275453
2	0	3	0.206951
2	1	3	0.155987
2	2	3	-1.06604
2	3	3	0.35187
2	4	3	0.34677
2	5	3	0.319289
2	6	3	-0.97923
2	7	3	0.253002
3	0	3	-1.27712
3	1	3	0.0495961
3	2	3	-1.16569
3	3	3	0.0799014
3	4	3	-1.15346
3	5	3	0.403986
3	6	3	-1.05246
3	7	3	0.265177
4	0	3	-0.836662
4	1	3	0.73358
4	2	3	0.743181
4	3	3	0.701972
4	4	3	-2.44623
4	5	3	0.808303
4	6	3	0.9287
4	7	3	0.68801
5	0	3	-5.50874
5	1	3	-4.08036
5	2	3	-3.94228
5	3	3	-3.87108
5	4	3	-5.41266
5	5	3	-3.88154
5	6	3	-3.76976
5	7	3	-3.98671
6	0	3	-5.73456
6	1	3	-4.45842
6	2	3	-4.33427
6	3	3	-4.36889
6	4	3	-4.9096
6	5	3	-4.30321
6	6	3	-4.29954
6	7	3	-4.0521
7	0	3	-4.06636
7	1	3	-4.06016
7	2	3	-5.44959
7	3	3	-4.20938
7	4	3	-3.8998
7	5	3	-3.86441
7	6	3	-5.22832
7	7	3	-3.90738
8	0	3	-5.25816
8	1	3	-3.79408
8	2	3	-5.16903
8	3	3	-3.78011
8	4	3	-4.98084
8	5	3	-3.562
8	6	3	-5.02563
8	7	3	-3.55218
9	0	3	-3.99437
9	1	3	-4.04784
9	2	3	-5.29224
9	3	3	-3.87503
9	4	3	-3.73724
9	5	3	-3.77514
9	6	3	-5.2307
9	7	3	-3.67986
10	0	3	-5.28008
10	1	3	-3.93756
10	2	3	-5.04519
10	3	3	-3.81738
10	4	3	-6.35284
10	5	3	-3.62298
10	6	3	-5.08327
10	7	3	-3.6602
11	0	3	-9.33432
11	1	3	-7.8615
11	2	3	-7.82514
11	3	3	-7.61682
11	4	3	-8.9966
11	5	3	-9.21914
