SURF	Chan	LAB Relative Delay (ns)
0	0	0	4.43043
0	1	0	4.51211
0	2	0	4.38431
0	3	0	4.49067
0	4	0	4.56604
0	5	0	4.42339
0	6	0	4.14114
0	7	0	4.25513
1	0	0	4.51359
1	1	0	4.56867
1	2	0	4.57985
1	3	0	4.57813
1	4	0	4.5892
1	5	0	4.67447
1	6	0	4.31311
1	7	0	4.341
2	0	0	4.43365
2	1	0	4.47095
2	2	0	4.15259
2	3	0	4.41881
2	4	0	4.33723
2	5	0	4.31226
2	6	0	4.01503
2	7	0	4.19845
3	0	0	4.2597
3	1	0	4.35881
3	2	0	4.2878
3	3	0	3.96435
3	4	0	4.24122
3	5	0	4.33238
3	6	0	4.14046
3	7	0	3.71256
4	0	0	5.86724
4	1	0	6.05957
4	2	0	5.83562
4	3	0	5.89792
4	4	0	5.96784
4	5	0	5.81996
4	6	0	5.83873
4	7	0	5.689
5	0	0	1.07468
5	1	0	1.12983
5	2	0	1.20828
5	3	0	1.22963
5	4	0	1.18428
5	5	0	1.15912
5	6	0	1.041
5	7	0	0.96812
6	0	0	-0.190789
6	1	0	-0.141085
6	2	0	-0.0672735
6	3	0	0
6	4	0	0.315475
6	5	0	-0.104664
6	6	0	-0.22935
6	7	0	-0.216187
7	0	0	0.0108789
7	1	0	-0.0090398
7	2	0	-0.0197399
7	3	0	0.0171286
7	4	0	-0.0181928
7	5	0	-0.0689634
7	6	0	-0.0703005
7	7	0	-0.177746
8	0	0	0.159566
8	1	0	0.301845
8	2	0	0.205938
8	3	0	0.19494
8	4	0	0.247942
8	5	0	0.214821
8	6	0	0.041807
8	7	0	0.075238
9	0	0	0.00495355
9	1	0	0.088869
9	2	0	0.0470158
9	3	0	-0.280536
9	4	0	-0.0308221
9	5	0	-0.0080357
9	6	0	-0.107947
9	7	0	-0.431845
10	0	0	1.2487
10	1	0	1.28012
10	2	0	1.28896
10	3	0	1.31406
10	4	0	1.29118
10	5	0	1.19086
10	6	0	1.09614
10	7	0	1.29257
11	0	0	-2.76358
11	1	0	-2.64532
11	2	0	-2.70216
11	3	0	-2.52503
11	4	0	-2.68788
11	5	0	-2.68066
11	6	0	-2.73345
11	7	0	-2.82593
0	0	1	4.39804
0	1	1	4.51209
0	2	1	4.41791
0	3	1	4.56059
0	4	1	4.65052
0	5	1	4.54887
0	6	1	4.25937
0	7	1	4.41423
1	0	1	4.38225
1	1	1	4.48413
1	2	1	4.49491
1	3	1	4.54373
1	4	1	4.5594
1	5	1	4.70334
1	6	1	4.34496
