SURF	Channel	ExtraDelay(ns)
11	7	0
11	3	0
5	5	0.132562
5	1	0.036685
10	7	0.0160281
10	3	-0.0142905
4	1	0.0735634
4	5	0.0184469
11	5	0.0576977
11	1	-0.0100766
4	7	0.114082
4	3	0.00552061
10	5	0.0179089
10	1	-0.057869
5	7	0.0898954
5	3	0.00913094
11	6	-0.00160712
11	2	-0.0274209
5	4	0.0163147
5	0	-0.0719382
10	6	-0.159232
10	2	-0.160888
4	4	0.0233603
4	0	-0.0707361
11	4	-0.0774255
11	0	-0.0351817
4	6	-0.0011015
4	2	-0.0461794
10	4	0.0458301
10	0	-0.124457
5	6	0.00508148
5	2	-0.103204
9	5	0.0533704
9	1	0.213936
3	7	0.0722153
3	3	0.139416
8	5	0.0419034
8	1	0.151011
2	7	0.0994809
2	3	0.185061
8	7	0.0796802
8	3	0.186784
3	5	0.0870644
3	1	0.193114
9	7	0.117945
9	3	0.214493
2	5	0.0647805
2	1	0.161238
9	4	0.088882
9	0	0.201092
3	6	0.00864754
3	2	0.115246
8	4	0.0292679
8	0	0.0820103
2	6	0.0331182
2	2	0.158134
8	6	0.144061
8	2	0.202082
3	4	0.0163736
3	0	0.157735
9	6	0.00575286
9	2	0.135512
2	4	0.0293158
2	0	0.146481
6	7	-0.00391514
6	3	0.214185
0	5	0.121721
0	1	0.160207
7	7	0.0448847
7	3	0.148473
1	5	0.0587182
1	1	0.204349
6	5	0.0557278
6	1	0.140859
1	7	0.0114511
1	3	0.10459
7	5	0.0769946
7	1	0.20357
0	7	0.0141068
0	3	0.0969972
6	6	0.0418761
6	2	0.194175
0	4	-0.00131002
0	0	0.161491
7	6	0.0507239
7	2	0.238396
1	4	0.0222425
1	0	0.222168
6	4	0.024968
6	0	0.20138
1	6	-0.00471024
1	2	0.127237
7	4	-0.00548321
7	0	0.111857
0	6	-0.355038
0	2	0.0838732
