     AntennaPhi        SURF       SURF ChanneNoise FigurGain (dB)  Delay (ns)      
          1H          2          2          5     144.48      69.42        54.36624
          1V          2          2          1     158.37      68.84        54.60594
          2H          4          4          5     157.19      69.53        54.40633
          2V          4          4          1     154.41      69.53        54.31101
          3H          6          6          5     160.27      69.21        54.30946
          3V          6          6          1     163.23      69.14        54.37553
          4H          8          8          5     153.96      69.33        54.38057
          4V          8          8          1     157.17      69.09        54.38111
         45H         10          2          6     150.99      68.86        54.42216
          5V         10          2          2     159.54      68.98        54.38963
          6H         12          4          6     151.63      68.66        54.38773
          6V         12          4          2      158.3      69.07        54.24952
          7H         14          6          6     149.97      69.15        54.41919
          7V         14          6          2     166.85      68.82        54.41730
          8H         16          8          6     171.71      68.35        54.29957
          8V         16          8          2     167.65      69.91        54.72800
          9H          1          1          5     158.83      70.03        54.28875
          9V          1          1          1     159.62      69.77        54.30961
         10H          3          3          5     151.83      69.03        54.30141
         10V          3          3          1     158.39      69.93        54.25311
         11H          5          5          5     151.84       69.3        54.39303
         11V          5          5          1     160.95      69.34        54.30136
         12H          7          7          5     158.93       69.3        54.32959
         12V          7          7          1     155.56      69.84        54.22780
         13H          9          1          6     158.26      69.94        54.41922
         13V          9          1          2     149.83      69.75        54.31808
         14H         11          3          6     153.89      69.62        54.27023
         14V         11          3          2     153.63      69.63        54.28580
         15H         13          5          6     172.78      68.69        54.31036
         15V         13          5          2     147.76       69.1        54.39544
         16H         15          7          6     143.75      68.86        54.30901
         16V         15          7          2      157.6      68.17        54.39975
         17H          1          1          7     157.68      71.48        58.56750
         17V          1          1          3     165.33      71.16        58.88181
         18H          2          2          7     164.84      71.12        58.67766
         18V          2          2          3     155.25      71.21        58.62162
         19H          3          3          7     159.99       70.7        58.60571
         19V          3          3          3     156.01      70.67        58.61115
         20H          4          4          7     160.43       70.7        58.80775
         20V          4          4          3      173.7       70.3        58.76185
         21H          5          5          7     157.66      70.11        58.82252
         21V          5          5          3     158.09      70.21        58.76917
         22H          6          6          7     158.66      70.29        58.71755
         22V          6          6          3     157.93      70.42        58.77665
         23H          7          7          7     157.72      70.58        58.70502
         23V          7          7          3     154.66      70.59        58.70205
         24H          8          8          7     164.03      70.56        58.68081
         24V          8          8          3      160.5      70.74        58.62750
         25H          9          1          8     157.15      70.17        58.73220
         25V          9          1          4     155.89      70.63        58.78747
         26H         10          2          8     156.32      70.58        58.84825
         26V         10          2          4     159.37      70.93        58.72417
         27H         11          3          8     157.45      71.03        58.68820
         27V         11          3          4     159.05      71.28        58.72417
         28H         12          4          8     168.82      71.11        58.75653
         28V         12          4          4     162.99      71.23        58.59384
         29H         13          5          8     154.66      70.43        58.81250
         29V         13          5          4     163.48      70.33        58.79083
         30H         14          6          8     157.75      70.45        58.57441
         30V         14          6          4     163.48      70.33        58.66271
         31H         15          7          8     165.17       71.2        58.65592
         31V         15          7          4     169.44      71.86        58.61319
         32H         16          8          8     158.69      71.09        58.68280
         32V         16          8          4     161.22      71.35        58.77111
         DC1          4          9          5     158.48      72.88        60.33689
         DC2          8          9          6     155.28      74.04        60.47111
         DC3         12          9          7     179.02      73.39        60.44506
         DC4         16          9          8     158.65      73.67        60.40410
         BC1          2          9          1     249.86      72.64        60.47528
         BC2          6          9          2     250.58      72.17        60.64483
         BC3         10          9          3     260.03      72.72        60.51661
         BC4         14          9          4     270.77      73.64        60.54383
