#SURF	Chip	Per0	Per1	Eps1	Eps0
7	0	5.19944	5.20051	3.76885	4.11936
7	1	5.20406	5.2037	3.81154	4.20188
7	2	5.20569	5.20538	3.79387	4.19542
7	3	5.20671	5.20212	3.76457	4.1356
6	0	5.20856	5.20509	3.73543	4.09722
6	1	5.20518	5.20305	3.74249	4.08571
6	2	5.20327	5.20261	3.82356	4.25153
6	3	5.20893	5.20541	3.77874	4.11051
5	0	5.20143	5.20455	3.80179	4.18251
5	1	5.20842	5.2067	3.75386	4.1607
5	2	5.20678	5.20525	3.86425	4.1931
5	3	5.20678	5.2036	3.75658	4.13829
4	0	5.20609	5.2031	3.77577	4.07678
4	1	5.20133	5.20308	3.78289	4.14996
4	2	5.20879	5.20181	3.75955	4.09321
4	3	5.20464	5.20293	3.722	4.06204
3	0	5.20303	5.19984	3.75191	4.12029
3	1	5.20521	5.2023	3.75039	4.13465
3	2	5.20453	5.20555	3.7982	4.14224
3	3	5.20265	5.20103	3.78375	4.13498
2	0	5.2045	5.20463	3.81444	4.17928
2	1	5.2053	5.2047	3.79606	4.1414
2	2	5.2104	5.19719	3.79232	4.14439
2	3	5.20553	5.19911	3.77588	4.14742
1	0	5.20727	5.20693	3.77235	4.12482
1	1	5.20394	5.20404	3.72734	4.08592
1	2	5.20222	5.20614	3.78391	4.13001
1	3	5.20358	5.19583	3.71437	4.06318
0	0	5.20417	5.20067	3.78987	4.13663
0	1	5.20316	5.21051	3.81887	4.18532
0	2	5.20865	5.19796	3.72509	4.09216
0	3	5.20818	5.20327	3.79313	4.12318
8	0	5.20307	5.2038	3.76236	4.09919
8	1	5.20409	5.20471	3.75325	4.09801
8	2	5.20374	5.20603	3.80102	4.11971
8	3	5.2051	5.20275	3.84926	4.12951
