SURF	Channel	Group Delay (ns)
0	0	2.66476
0	1	2.65628
0	2	-1.90744
0	3	-1.81311
0	4	2.68562
0	5	2.55515
0	6	-1.59314
0	7	-1.75784
0	8	0
1	0	2.36842
1	1	2.58474
1	2	-1.64725
1	3	-1.74981
1	4	2.60812
1	5	2.5522
1	6	-1.7033
1	7	-1.87389
1	8	0
2	0	2.72126
2	1	2.68856
2	2	-1.63678
2	3	-1.74981
2	4	2.67295
2	5	2.70414
2	6	-1.63134
2	7	-1.71384
2	8	0
3	0	2.66336
3	1	2.72485
3	2	-1.78748
3	3	-1.61948
3	4	2.56804
3	5	2.58664
3	6	-1.83339
3	7	-1.78217
3	8	0
4	0	2.673
4	1	2.57893
4	2	-1.7948
4	3	-1.81646
4	4	2.58134
4	5	2.66401
4	6	-1.84816
4	7	-1.83813
4	8	0
5	0	2.59883
5	1	2.55706
5	2	-1.80228
5	3	-1.68834
5	4	2.66491
5	5	2.55518
5	6	-1.74318
5	7	-1.60004
5	8	0
6	0	2.74657
6	1	2.57462
6	2	-1.72768
6	3	-1.63882
6	4	2.64478
6	5	2.66536
6	6	-1.73066
6	7	-1.68155
6	8	0
7	0	2.59325
7	1	2.24636
7	2	-1.65313
7	3	-1.79675
7	4	2.5938
7	5	2.6748
7	6	-1.70644
7	7	-1.70844
7	8	0
8	0	-3.50092
8	1	-3.67046
8	2	-3.54224
8	3	-3.56947
8	4	-3.36253
8	5	-3.49675
8	6	-3.4707
8	7	-3.42973
8	8	0
