SURF	Chip	Rco	TimeBase
0	0	0	2.583258
0	0	1	2.538523
0	1	0	2.610135
0	1	1	2.563427
0	2	0	2.619153
0	2	1	2.581422
0	3	0	2.642092
0	3	1	2.602050
1	0	0	2.614172
1	0	1	2.576352
1	1	0	2.633510
1	1	1	2.591704
1	2	0	2.594435
1	2	1	2.550951
1	3	0	2.618766
1	3	1	2.580408
2	0	0	2.617588
2	0	1	2.569939
2	1	0	2.637136
2	1	1	2.601384
2	2	0	2.601451
2	2	1	2.563931
2	3	0	2.670294
2	3	1	2.633344
3	0	0	2.597457
3	0	1	2.552559
3	1	0	2.573750
3	1	1	2.531875
3	2	0	2.617049
3	2	1	2.578681
3	3	0	2.567205
3	3	1	2.527169
4	0	0	2.601750
4	0	1	2.564974
4	1	0	2.664239
4	1	1	2.618032
4	2	0	2.618378
4	2	1	2.586960
4	3	0	2.559232
4	3	1	2.519695
5	0	0	2.638793
5	0	1	2.606165
5	1	0	2.635208
5	1	1	2.598334
5	2	0	2.624553
5	2	1	2.590248
5	3	0	2.585485
5	3	1	2.545345
6	0	0	2.617372
6	0	1	2.577307
6	1	0	2.586471
6	1	1	2.544280
6	2	0	2.678832
6	2	1	2.638764
6	3	0	2.654066
6	3	1	2.610878
7	0	0	2.629747
7	0	1	2.587607
7	1	0	2.654054
7	1	1	2.612567
7	2	0	2.677269
7	2	1	2.640399
7	3	0	2.629188
7	3	1	2.588340
8	0	0	2.608268
8	0	1	2.573015
8	1	0	2.627726
8	1	1	2.582746
8	2	0	2.591292
8	2	1	2.547668
8	3	0	2.635412
8	3	1	2.597907
