SURF	Chip	End RCO	Epsilon
0	0	0	1.42879
0	0	1	1.45211
0	1	0	1.46298
0	1	1	1.4612
0	2	0	1.51149
0	2	1	1.53633
0	3	0	1.47412
0	3	1	1.48448
1	0	0	1.35652
1	0	1	1.3971
1	1	0	1.55024
1	1	1	1.55904
1	2	0	1.40681
1	2	1	1.42986
1	3	0	1.35034
1	3	1	1.35555
2	0	0	1.43009
2	0	1	1.43495
2	1	0	1.36218
2	1	1	1.3906
2	2	0	1.49177
2	2	1	1.49898
2	3	0	1.41139
2	3	1	1.43706
3	0	0	1.58822
3	0	1	1.60233
3	1	0	1.36598
3	1	1	1.40519
3	2	0	1.45982
3	2	1	1.4727
3	3	0	1.31352
3	3	1	1.30999
4	0	0	1.54642
4	0	1	1.54343
4	1	0	1.24054
4	1	1	1.23139
4	2	0	1.48463
4	2	1	1.51272
4	3	0	1.61892
4	3	1	1.63212
5	0	0	1.44491
5	0	1	1.43719
5	1	0	1.4522
5	1	1	1.46126
5	2	0	1.35809
5	2	1	1.35988
5	3	0	1.38763
5	3	1	1.39632
6	0	0	1.38993
6	0	1	1.38252
6	1	0	1.43994
6	1	1	1.43476
6	2	0	1.37194
6	2	1	1.77219
6	3	0	1.57903
6	3	1	1.61714
7	0	0	1.49241
7	0	1	1.52017
7	1	0	1.44511
7	1	1	1.48556
7	2	0	1.41389
7	2	1	1.43149
7	3	0	1.42962
7	3	1	1.42384
8	0	0	1.33423
8	0	1	1.37006
8	1	0	1.54182
8	1	1	1.54724
8	2	0	1.39901
8	2	1	1.4131
8	3	0	1.27514
8	3	1	1.30309
9	0	0	1.47108
9	0	1	1.50084
9	1	0	1.45987
9	1	1	1.46268
9	2	0	1.38586
9	2	1	1.39567
9	3	0	1.44145
9	3	1	1.44353
