#Chan surf surfchan slope yint ampNoise chanGain
08MV 3 2 604.236252546 68788.3389945 104.596453202 61.5490492611
13TV 12 1 617.596741344 71349.6437262 104.804187192 63.709137931
13TH 12 5 614.012219959 71589.3424567 107.248571429 63.9293004926
08MH 3 6 586.700610998 66010.3515341 103.711773399 58.0901330049
16TV 6 3 601.303462322 68590.8379558 104.936453202 60.8071773399
12TH 5 5 619.857433809 70608.3382768 107.861280788 63.7751576355
12TV 5 1 611.568228106 71248.7915912 103.598719212 64.1079359606
16TH 6 7 599.266802444 66867.8122345 99.8568965517 58.4550394089
12MH 3 7 579.633401222 68480.1802812 111.465123153 63.6062660099
08TH 6 8 589.246435845 66166.7336857 104.672019704 58.2991871921
08TV 6 4 383.584521385 49567.9483491 109.363694581 60.9415714286
12MV 3 3 621.649694501 71955.9889116 104.473842365 63.9181330049
04TH 5 2 590.651731161 66357.4654334 100.36270936 58.7536502463
03TV 11 4 619.32790224 70753.1755893 106.261576355 61.353679803
04MH 3 8 602.790224033 67479.3947324 98.2783251232 58.2186009852
04MV 3 4 605.621181263 68748.964485 100.393793103 61.1578078818
10MV 4 3 597.250509165 69292.1927704 107.104778325 63.7838965517
04TV 5 6 622.953156823 70848.0893732 97.7249753695 61.1278275862
03TH 11 8 550.773930754 59571.0138104 97.7281773399 58.5813349754
01MH 10 6 625.193482688 68794.4776666 96.8890147783 58.272546798
10BH 1 5 605.315682281 73367.4706268 103.172512315 63.9499408867
10BV 1 1 526.883910387 63592.5740996 105.093103448 63.8136059113
01MV 10 2 627.250509165 70579.9096452 102.913399015 61.5011724138
06TV 5 4 596.089613035 68345.1361093 104.483103448 61.1271280788
14BH 2 7 598.737270876 69976.349547 108.265763547 63.8042758621
09MH 10 5 600.936863544 67894.725326 99.8497044335 57.9005566502
09MV 10 1 612.586558045 69577.7044518 101.406009852 60.6028275862
14BV 2 3 604.378818737 70403.782795 106.002807882 63.8187586207
06TH 5 8 597.209775967 66316.280256 101.215123153 57.7666600985
13MH 9 7 628.309572301 72184.9350202 104.665221675 63.7175862069
03BH 8 8 595.397148676 66276.5233641 99.0608866995 58.0418275862
13MV 9 3 621.242362525 71470.6637673 102.06182266 63.8662463054
05MH 9 8 586.883910387 65862.607849 99.180591133 58.6402463054
12BH 2 5 614.521384929 71506.998887 105.764334975 63.8694876847
12BV 2 1 595.193482688 68393.6607919 107.019261084 63.6272512315
11MV 9 1 610.814663951 70811.9600743 107.263004926 63.8072068966
05MV 9 4 609.266802444 68532.0845261 99.8518719212 60.8992463054
11TV 11 3 611.486761711 70802.0665623 106.78546798 63.8552068966
02MH 4 8 595.030549898 67003.1107342 102.721477833 58.5487044335
02MV 4 4 605.091649695 69221.8017974 98.5204926108 61.8843300493
11TH 11 7 625.702647658 72206.834097 112.660689655 63.685408867
06MV 4 2 593.034623218 67527.5975274 103.864039409 61.652137931
02BH 1 6 440.957230143 55427.5749181 104.633940887 58.3634679803
10TV 6 1 609.959266802 70866.1972713 103.647487685 63.8163349754
01BV 7 4 624.562118126 68524.483693 97.4251231527 59.0739950739
01BH 7 8 594.358452138 66476.9042462 104.542660099 58.4750098522
06MH 4 6 589.755600815 65750.0901161 99.5861083744 57.8628866995
10TH 6 5 609.063136456 70695.021954 104.256206897 63.9698374384
02BV 1 2 373.686354379 49897.3073436 105.820985222 59.4851921182
11BH 8 7 601.771894094 70072.2818717 106.789261084 63.8497635468
02TV 6 2 593.136456212 67135.9288134 104.119014778 60.7437931034
02TH 6 6 610.020366599 68147.516043 100.379014778 57.9525369458
09TV 12 3 615.906313646 70013.2243775 103.768522167 61.0232463054
15TV 11 1 614.236252546 71680.4112861 103.789753695 63.7142906404
05TV 12 2 605.987780041 68479.6771148 108.280344828 60.015591133
14MH 4 5 622.138492872 72033.8390847 103.706600985 63.8646945813
01TH 12 8 614.541751527 68392.8051443 99.2012807882 58.8777339901
14TH 5 7 601.038696538 68005.8566121 102.3208867 59.269137931
14TV 5 3 612.219959267 69526.291822 100.908965517 61.4229605911
01TV 12 4 611.242362525 69238.1914758 101.994039409 60.7623152709
14MV 4 1 606.476578411 70179.5272879 106.899014778 63.6615517241
05TH 12 6 970.570264766 95364.8874843 97.1566009852 58.8884926108
15TH 11 5 609.531568228 68567.6658699 105.436699507 63.7997536946
15BV 8 1 593.645621181 66868.0852438 100.782660099 60.0287192118
09TH 12 7 598.920570265 65651.7058619 99.1582758621 57.6542315271
15BH 8 5 593.136456212 67137.4288134 110.545369458 58.6959359606
07MH 10 8 578.452138493 64953.8173629 98.3785221675 58.1031330049
16MH 3 5 590.875763747 66758.9342628 103.136059113 59.0994630542
07TH 11 6 587.535641548 66347.3080799 102.903793103 58.8189507389
07TV 11 2 626.619144603 70426.2156716 103.763448276 61.3249408867
