SURF	CHAN	CHIP	MEAN	RMS	ENTRIES	
0	0	0	-4.06259	0.0197824	349
0	0	1	-4.03034	0.0219115	373
0	0	2	-4.01202	0.0244283	372
0	0	3	-3.96589	0.0343843	372
0	1	0	-4.14125	0.0498336	1405
0	1	1	-4.10426	0.0417077	1498
0	1	2	-4.08951	0.0411199	1497
0	1	3	-4.06749	0.0364188	1497
0	2	0	0	0	0
0	2	1	0	0	0
0	2	2	0	0	0
0	2	3	0	0	0
0	3	0	-0.110581	0.0213419	344
0	3	1	-0.121729	0.020014	373
0	3	2	-0.111935	0.0184118	372
0	3	3	-0.140484	0.0210742	372
0	4	0	-10.37	0.0623397	349
0	4	1	-10.4314	0.0696308	373
0	4	2	-10.4273	0.0681655	372
0	4	3	-10.4608	0.0615264	372
0	5	0	-10.4723	0.113432	1405
0	5	1	-10.5547	0.0922256	1498
0	5	2	-10.5811	0.0939715	1497
0	5	3	-10.6662	0.062859	1497
0	6	0	-6.00514	0.0889649	1423
0	6	1	-6.11992	0.105071	1498
0	6	2	-6.17181	0.114664	1497
0	6	3	-6.26994	0.0925602	1497
0	7	0	-5.53473	0.0324639	344
0	7	1	-5.66867	0.0354423	373
0	7	2	-5.711	0.0362362	372
0	7	3	-5.82244	0.0366242	372
1	0	0	-6.09236	0.0454972	356
1	0	1	-6.10025	0.0450648	373
1	0	2	-6.15476	0.0449635	372
1	0	3	-6.19089	0.0473323	372
1	1	0	-6.35065	0.0549186	1423
1	1	1	-6.39738	0.0575067	1498
1	1	2	-6.44163	0.0832928	1497
1	1	3	-6.51219	0.0651274	1497
1	2	0	-1.73763	0.0313382	354
1	2	1	-1.78275	0.0276956	373
1	2	2	-1.84048	0.0331992	372
1	2	3	-1.93516	0.0348965	371
1	3	0	-2.15686	0.0413532	354
1	3	1	-2.2535	0.0352227	373
1	3	2	-2.30774	0.040408	372
1	3	3	-2.42113	0.0331592	372
1	4	0	-11.8749	0.0552896	356
1	4	1	-11.9933	0.0524699	373
1	4	2	-12.0888	0.0512266	372
1	4	3	-12.2244	0.0589601	372
1	5	0	-11.9283	0.0789924	1423
1	5	1	-12.101	0.0809088	1498
1	5	2	-12.1833	0.115258	1497
1	5	3	-12.3556	0.0944543	1497
1	6	0	-7.60446	0.0341353	354
1	6	1	-7.77977	0.0361971	373
1	6	2	-7.89963	0.0451264	372
1	6	3	-8.08631	0.0407411	371
1	7	0	-7.36514	0.0453003	354
1	7	1	-7.57918	0.0375211	373
1	7	2	-7.67399	0.0404124	372
1	7	3	-7.87671	0.0356969	372
2	0	0	-7.13582	0.0628727	1414
2	0	1	-7.07179	0.0557457	1498
2	0	2	-6.99216	0.0987036	1497
2	0	3	-6.95595	0.0748907	1497
2	1	0	-7.15371	0.04728	348
2	1	1	-7.09886	0.0514675	373
2	1	2	-7.03984	0.0506965	372
2	1	3	-7.02718	0.0489331	372
2	2	0	-3.05338	0.0294958	358
2	2	1	-3.0072	0.0328698	373
2	2	2	-2.96089	0.0368303	372
2	2	3	-2.98637	0.032561	372
2	3	0	-2.67844	0.0424913	352
2	3	1	-2.66779	0.0318045	373
2	3	2	-2.60573	0.0410187	372
2	3	3	-2.65153	0.0324048	372
2	4	0	-13.0998	0.0727445	1414
2	4	1	-13.1308	0.0608849	1498
2	4	2	-13.0897	0.0767232	1497
2	4	3	-13.1399	0.0795986	1497
2	5	0	-12.7625	0.0576563	348
2	5	1	-12.8186	0.0634073	373
2	5	2	-12.7858	0.0632006	372
2	5	3	-12.8497	0.0578996	372
2	6	0	-8.37774	0.0320585	358
2	6	1	-8.45135	0.0414146	373
2	6	2	-8.43399	0.043097	372
2	6	3	-8.53042	0.0378314	372
2	7	0	-8.46846	0.0450477	352
2	7	1	-8.54851	0.0386913	373
2	7	2	-8.54108	0.0445076	372
2	7	3	-8.6551	0.0395332	372
3	0	0	-0.657955	0.060287	1414
3	0	1	-0.651631	0.0774306	1498
3	0	2	-0.521354	0.0570837	1497
3	0	3	-0.47525	0.0720388	1497
3	1	0	-1.26129	0.0499401	348
3	1	1	-1.2779	0.051811	373
3	1	2	-1.16395	0.0497221	372
3	1	3	-1.18097	0.0564961	372
3	2	0	3.23575	0.0360477	346
3	2	1	3.18129	0.0340888	372
3	2	2	3.29774	0.0336092	372
3	2	3	3.2779	0.0402968	372
3	3	0	3.20744	0.0490578	357
3	3	1	3.13227	0.036591	373
3	3	2	3.22621	0.0456246	372
3	3	3	3.17718	0.0455001	372
3	4	0	-7.02565	0.100521	1414
3	4	1	-7.12746	0.0888848	1498
3	4	2	-7.03395	0.102935	1497
3	4	3	-7.07188	0.0854589	1497
3	5	0	-7.0554	0.0516363	348
3	5	1	-7.19377	0.05869	373
3	5	2	-7.09915	0.0599611	372
3	5	3	-7.20373	0.0635837	372
3	6	0	-2.32026	0.0403022	346
3	6	1	-2.46331	0.0441111	372
3	6	2	-2.40439	0.0454435	372
3	6	3	-2.49607	0.0464933	372
3	7	0	-2.10518	0.0523542	357
3	7	1	-2.2913	0.0403741	373
3	7	2	-2.24262	0.0478084	372
3	7	3	-2.38002	0.0534985	372
4	0	0	-6.07785	0.0514108	1405
4	0	1	-5.98454	0.0522204	1498
4	0	2	-5.96864	0.0620558	1497
4	0	3	-5.90358	0.0529036	1497
4	1	0	-11.6658	0.0448065	349
4	1	1	-11.8258	0.0907231	373
4	1	2	-11.609	0.0416382	372
4	1	3	-11.5802	0.0449997	372
4	2	0	-1.92381	0.0268129	354
4	2	1	-1.87146	0.0314838	373
4	2	2	-1.87734	0.0298682	372
4	2	3	-1.84759	0.0329386	371
4	3	0	-1.65127	0.0367722	354
4	3	1	-1.63846	0.0329529	373
4	3	2	-1.62129	0.0353432	372
4	3	3	-1.65823	0.0286398	372
4	4	0	-12.1081	0.0797303	1405
4	4	1	-12.1278	0.0626367	1498
4	4	2	-12.1367	0.0603546	1497
4	4	3	-12.1566	0.0703894	1497
4	5	0	-6.06037	0.0442829	349
4	5	1	-6.10669	0.0476423	373
4	5	2	-6.13415	0.0472486	372
4	5	3	-6.18921	0.0513868	372
4	6	0	-7.57404	0.0321815	354
4	6	1	-7.64119	0.038917	373
4	6	2	-7.67036	0.0362828	372
4	6	3	-7.73497	0.0399697	371
4	7	0	-7.57895	0.0396204	354
4	7	1	-7.66983	0.0369886	373
4	7	2	-7.71866	0.0399469	372
4	7	3	-7.80099	0.0368917	372
5	0	0	-6.07827	0.0653064	1423
5	0	1	-5.96443	0.0748981	1498
5	0	2	-5.79226	0.0817457	1497
5	0	3	-5.88779	0.087382	1497
5	1	0	-6.15379	0.0441582	356
5	1	1	-6.0758	0.0451734	373
5	1	2	-5.92008	0.0402912	372
5	1	3	-6.02323	0.0465599	372
5	2	0	-1.52351	0.0256394	349
5	2	1	-1.45476	0.0271269	373
5	2	2	-1.29194	0.0270953	372
5	2	3	-1.43113	0.0296134	372
5	3	0	-1.77741	0.0285246	344
5	3	1	-1.74937	0.0290131	373
5	3	2	-1.57742	0.0264688	372
5	3	3	-1.72645	0.0303659	372
5	4	0	-11.9703	0.0798107	1423
5	4	1	-11.9543	0.0834443	1498
5	4	2	-11.8272	0.0747458	1497
5	4	3	-11.9834	0.0807121	1497
5	5	0	-11.6684	0.0486191	356
5	5	1	-11.6849	0.0549189	373
5	5	2	-11.5621	0.0495371	372
5	5	3	-11.7666	0.0602511	372
5	6	0	-7.38467	0.0359499	349
5	6	1	-7.42387	0.0355762	373
5	6	2	-7.3006	0.0325921	372
5	6	3	-7.50494	0.0354237	372
5	7	0	-7.20191	0.0334637	344
5	7	1	-7.27508	0.0364287	373
5	7	2	-7.14012	0.0348666	372
5	7	3	-7.38276	0.0382808	372
6	0	0	-5.02541	0.0626185	1413
6	0	1	-12.656	0.0623746	1497
6	0	2	-4.24259	0.0852298	1497
6	0	3	-12.0834	0.0880882	1497
6	1	0	-5.5322	0.0483766	353
6	1	1	-13.1877	0.039848	373
6	1	2	-4.81065	0.0457243	372
6	1	3	-12.6525	0.0508258	372
6	2	0	-0.811387	0.0332786	346
6	2	1	-8.4775	0.0320439	372
6	2	2	-0.0895161	0.0318351	372
6	2	3	-7.98218	0.0385746	372
6	3	0	-0.858193	0.0405411	357
6	3	1	-8.57497	0.0320146	373
6	3	2	-0.188629	0.0378523	372
6	3	3	-8.11371	0.0325271	372
6	4	0	-11.1173	0.102016	1413
6	4	1	-18.8797	0.0975329	1497
6	4	2	-10.5192	0.0927071	1497
6	4	3	-18.4331	0.092019	1497
6	5	0	-11.1109	0.0556193	353
6	5	1	-18.8941	0.0516949	373
6	5	2	-10.5316	0.0546759	372
6	5	3	-18.4724	0.0648027	372
6	6	0	-6.5956	0.0384894	346
6	6	1	-14.4021	0.0374287	372
6	6	2	-6.04342	0.0407963	372
6	6	3	-14.0061	0.0454297	372
6	7	0	-6.46022	0.0446555	357
6	7	1	-14.2936	0.0409597	373
6	7	2	-5.96439	0.04471	372
6	7	3	-13.9795	0.0421088	372
7	0	0	-5.66349	0.0638299	1413
7	0	1	-5.57891	0.0674688	1497
7	0	2	-5.5904	0.0676351	1497
7	0	3	-5.5905	0.0663497	1497
7	1	0	-5.48579	0.0460932	353
7	1	1	-5.44202	0.044517	373
7	1	2	-5.42742	0.0429998	372
7	1	3	-5.44758	0.0428025	372
7	2	0	-1.09056	0.0297962	358
7	2	1	-1.02462	0.0306125	373
7	2	2	-1.04847	0.0295134	372
7	2	3	-1.11395	0.0304223	372
7	3	0	-0.897102	0.0395803	352
7	3	1	-0.895617	0.0328519	373
7	3	2	-0.914597	0.0372307	372
7	3	3	-0.993629	0.0318599	372
7	4	0	-11.2933	0.073846	1413
7	4	1	-11.3304	0.0881074	1497
7	4	2	-11.361	0.0788534	1497
7	4	3	-11.4683	0.0799107	1497
7	5	0	-11.4098	0.0530501	353
7	5	1	-11.4607	0.0533366	373
7	5	2	-11.4875	0.0535991	372
7	5	3	-11.6241	0.0563974	372
7	6	0	-6.78413	0.0325365	358
7	6	1	-6.862	0.0358697	373
7	6	2	-6.91955	0.0381918	372
7	6	3	-7.06801	0.0392917	372
7	7	0	-6.64042	0.0431755	352
7	7	1	-6.74353	0.0398548	373
7	7	2	-6.79044	0.0412572	372
7	7	3	-6.95671	0.0378036	372
8	0	0	5.92492	0.0428636	362
8	0	1	6.25637	0.0374167	373
8	0	2	6.71903	0.0366966	372
8	0	3	-1.13677	0.0345956	372
8	1	0	5.85009	0.0459051	350
8	1	1	6.15647	0.0390466	373
8	1	2	6.63282	0.0420744	372
8	1	3	-1.26347	0.0351963	372
8	2	0	5.67182	0.0443222	346
8	2	1	5.94101	0.0370475	373
8	2	2	6.40008	0.0422835	372
8	2	3	-1.5175	0.0373438	372
8	3	0	6.1	0.0449057	354
8	3	1	6.34926	0.0387859	373
8	3	2	6.79726	0.0414425	372
8	3	3	-1.13718	0.0350474	372
8	4	0	-0.27829	0.0514449	362
8	4	1	-0.05562	0.0516489	373
8	4	2	0.354	0.0483368	372
8	4	3	-7.57865	0.0452496	372
8	5	0	-0.22783	0.0513371	350
8	5	1	-0.05618	0.0494015	373
8	5	2	0.384	0.0540101	372
8	5	3	-7.60575	0.0467595	372
8	6	0	-0.4417	0.0536623	346
8	6	1	-0.26626	0.0485205	373
8	6	2	0.15585	0.0529472	372
8	6	3	-7.84067	0.0457055	372
8	7	0	-0.04065	0.0548318	354
8	7	1	0.10243	0.0479296	373
8	7	2	0.5265	0.0524362	372
8	7	3	-7.5076	0.0457925	372
9	0	0	4.54791	0.0488153	350
9	0	1	4.91055	0.0393654	373
9	0	2	5.1629	0.0479797	372
9	0	3	5.22702	0.0440121	372
9	1	0	4.58558	0.0482492	346
9	1	1	4.92382	0.0371895	373
9	1	2	5.19516	0.0458782	372
9	1	3	5.20758	0.0428589	372
9	2	0	4.1889	0.0501191	354
9	2	1	4.52055	0.0447577	373
9	2	2	4.77903	0.0470058	372
9	2	3	4.78282	0.0455886	372
9	3	0	4.00401	0.0476069	362
9	3	1	4.30082	0.0402298	373
9	3	2	4.53685	0.0446919	372
9	3	3	4.49621	0.0419407	372
9	4	0	-1.85708	0.0577786	350
9	4	1	-1.6169	0.0523428	373
9	4	2	-1.36818	0.0570983	372
9	4	3	-1.42599	0.0515536	372
9	5	0	-1.84286	0.0607669	346
9	5	1	-1.6305	0.0481508	373
9	5	2	-1.40028	0.0561686	372
9	5	3	-1.49849	0.0501159	372
9	6	0	-1.93794	0.0612184	354
9	6	1	-1.7394	0.054856	373
9	6	2	-1.51125	0.0534503	372
9	6	3	-1.62567	0.0559403	372
9	7	0	-1.50904	0.0547207	362
9	7	1	-1.34602	0.0518673	373
9	7	2	-1.13584	0.0535275	372
9	7	3	-1.2876	0.0536282	372
