SURF	Chan	Chip	Ant	Pol	Peak	RMS	mv/count
1	1	1	9	V	387.69	23.7953	0.911761
1	1	2	9	V	401.887	26.4585	0.879551
1	1	3	9	V	400.169	26.7127	0.883327
1	1	4	9	V	411.854	29.4766	0.858265
1	2	1	13	V	339.562	17.5308	1.04099
1	2	2	13	V	363.024	21.1629	0.97371
1	2	3	13	V	357.403	18.4574	0.989024
1	2	4	13	V	371.02	22.8757	0.952725
1	3	1	17	V	325.429	17.9693	1.0862
1	3	2	17	V	342.339	19.3645	1.03255
1	3	3	17	V	338.04	19.2056	1.04567
1	3	4	17	V	348.502	20.8625	1.01428
1	4	1	25	V	327.938	21.441	1.07789
1	4	2	25	V	348.651	22.5754	1.01385
1	4	3	25	V	349.587	20.4068	1.01114
1	4	4	25	V	367.474	24.0707	0.961918
1	5	1	8	H	573.704	30.9561	0.960859
1	5	2	8	H	604.919	31.6645	0.911277
1	5	3	8	H	598.257	32.4249	0.921425
1	5	4	8	H	619.398	33.0724	0.889975
1	6	1	12	H	498.533	22.4129	1.10574
1	6	2	12	H	542.03	25.4532	1.01701
1	6	3	12	H	527.635	24.531	1.04475
1	6	4	12	H	556.712	25.6642	0.990187
1	7	1	16	H	562.943	35.7726	0.979226
1	7	2	16	H	613.101	30.446	0.899115
1	7	3	16	H	593.49	27.2188	0.928826
1	7	4	16	H	632.308	29.0566	0.871805
1	8	1	24	H	523.476	26.278	1.05305
1	8	2	24	H	562.747	29.24	0.979567
1	8	3	24	H	546.253	25.0444	1.00915
1	8	4	24	H	589.424	29.3121	0.935233
2	1	1	4	V	388.224	27.4952	0.909976
2	1	2	4	V	386.992	23.9866	0.912873
2	1	3	4	V	393.048	27.3318	0.898807
2	1	4	4	V	390.543	24.248	0.904574
2	2	1	8	V	356.704	23.3404	0.990386
2	2	2	8	V	361.863	22.0183	0.976267
2	2	3	8	V	371.21	23.2848	0.951685
2	2	4	8	V	367.984	21.5068	0.960028
2	3	1	24	V	318.355	14.646	1.10969
2	3	2	24	V	320.339	14.0442	1.10282
2	3	3	24	V	322.024	15.3554	1.09704
2	3	4	24	V	324.769	14.8964	1.08777
2	4	1	32	V	330.427	21.5928	1.06915
2	4	2	32	V	333.653	21.6836	1.05881
2	4	3	32	V	343.018	27.9037	1.0299
2	4	4	32	V	344.016	21.5546	1.02691
2	5	1	3	H	572.096	30.6593	0.963
2	5	2	3	H	585.581	30.7484	0.940823
2	5	3	3	H	583.232	29.0772	0.944612
2	5	4	3	H	579.521	30.6216	0.950662
2	6	1	7	H	523.691	25.0687	1.05201
2	6	2	7	H	531.386	22.9027	1.03678
2	6	3	7	H	536.812	23.593	1.0263
2	6	4	7	H	526.117	22.8903	1.04716
2	7	1	23	H	555.673	34.3191	0.991461
2	7	2	23	H	573.46	26.0166	0.960708
2	7	3	23	H	572.841	25.093	0.961746
2	7	4	23	H	578.784	25.4163	0.951872
2	8	1	31	H	514.283	21.5759	1.07126
2	8	2	31	H	530.617	21.7349	1.03828
2	8	3	31	H	522.102	20.2741	1.05521
2	8	4	31	H	528.235	22.1683	1.04296
3	1	1	10	V	402.043	30.2692	0.879554
3	1	2	10	V	391.387	26.137	0.903501
3	1	3	10	V	405.048	25.0785	0.873028
3	1	4	10	V	402.883	26.9247	0.877721
3	2	1	14	V	359.863	24.8439	0.982649
3	2	2	14	V	360.589	20.7821	0.98067
3	2	3	14	V	366.984	23.5214	0.963581
3	2	4	14	V	372.202	19.2206	0.95007
3	3	1	19	V	330.571	18.2494	1.06972
3	3	2	19	V	330	20.1214	1.07157
3	3	3	19	V	333.573	20.4796	1.06009
3	3	4	19	V	336.032	21.169	1.05233
3	4	1	27	V	316.8	19.3247	1.11622
3	4	2	27	V	328.413	17.4982	1.07675
3	4	3	27	V	330.629	18.6244	1.06953
3	4	4	27	V	338.891	18.9841	1.04346
3	5	1	9	H	548.021	29.6441	1.00628
3	5	2	9	H	554.756	24.995	0.994066
3	5	3	9	H	559.242	28.3907	0.986092
3	5	4	9	H	560.766	28.8859	0.983412
3	6	1	13	H	494.753	17.4443	1.11463
