Antenna	POL	deltaR(m)	deltaPhi(deg)	deltaZ(m)
0	0	-0.0755021	-1.14526	0.00383064
0	1	-0.0755021	-1.14526	0.00383064
1	0	-0.0754053	-1.19516	0.0114792
1	1	-0.0754053	-1.19516	0.0114792
2	0	-0.0758973	-0.572217	-0.000915029
2	1	-0.0758973	-0.572217	-0.000915029
3	0	-0.0751334	-1.21698	0.00817061
3	1	-0.0751334	-1.21698	0.00817061
4	0	-0.0754855	0.807567	0.0149402
4	1	-0.0754855	0.807567	0.0149402
5	0	-0.0761363	1.00702	0.000434651
5	1	-0.0761363	1.00702	0.000434651
6	0	-0.0770627	0.65834	-0.000688341
6	1	-0.0770627	0.65834	-0.000688341
7	0	-0.0762611	0.390287	0.00187822
7	1	-0.0762611	0.390287	0.00187822
8	0	-0.0777363	0.969955	-0.00203864
8	1	-0.0777363	0.969955	-0.00203864
9	0	-0.078291	0.629514	-0.00657324
9	1	-0.078291	0.629514	-0.00657324
10	0	-0.0772388	0.0145173	-0.00727957
10	1	-0.0772388	0.0145173	-0.00727957
11	0	-0.0774215	-0.140671	-0.00463241
11	1	-0.0774215	-0.140671	-0.00463241
12	0	-0.0765035	-0.185877	-0.00742322
12	1	-0.0765035	-0.185877	-0.00742322
13	0	-0.0759075	-0.760693	-0.0106585
13	1	-0.0759075	-0.760693	-0.0106585
14	0	-0.0762022	-1.3827	-0.00851672
14	1	-0.0762022	-1.3827	-0.00851672
15	0	-0.0753529	-1.8752	7.24414e-05
15	1	-0.0753529	-1.8752	7.24414e-05
16	0	-0.0754152	0.537821	-0.00202431
16	1	-0.0754152	0.537821	-0.00202431
17	0	-0.0753723	0.383054	-0.00281984
17	1	-0.0753723	0.383054	-0.00281984
18	0	-0.0758703	0.435748	0.000467705
18	1	-0.0758703	0.435748	0.000467705
19	0	-0.0750426	0.346346	-0.00276636
19	1	-0.0750426	0.346346	-0.00276636
20	0	-0.0752341	0.132233	-0.00526686
20	1	-0.0752341	0.132233	-0.00526686
21	0	-0.0762602	-0.0823295	0.000950806
21	1	-0.0762602	-0.0823295	0.000950806
22	0	-0.0769512	0.131413	0.00234021
22	1	-0.0769512	0.131413	0.00234021
23	0	-0.0762242	0.177878	-0.000794812
23	1	-0.0762242	0.177878	-0.000794812
24	0	-0.0778539	0.0756705	0.00155639
24	1	-0.0778539	0.0756705	0.00155639
25	0	-0.0784717	0.148763	0.00366944
25	1	-0.0784717	0.148763	0.00366944
26	0	-0.0772868	0.301202	0.00322204
26	1	-0.0772868	0.301202	0.00322204
27	0	-0.0776205	0.293542	0.000625646
27	1	-0.0776205	0.293542	0.000625646
28	0	-0.076477	0.258512	0.00029018
28	1	-0.076477	0.258512	0.00029018
29	0	-0.0759312	0.165847	0.00639994
29	1	-0.0759312	0.165847	0.00639994
30	0	-0.0764324	0.660815	0.00270601
30	1	-0.0764324	0.660815	0.00270601
31	0	-0.0752807	0.43786	-0.00238263
31	1	-0.0752807	0.43786	-0.00238263
32	0	-0.0754755	0.549081	-0.00371219
32	1	-0.0754755	0.549081	-0.00371219
33	0	-0.0752847	0.445847	-0.00483549
33	1	-0.0752847	0.445847	-0.00483549
34	0	-0.0757953	0.478993	-0.00312097
34	1	-0.0757953	0.478993	-0.00312097
35	0	-0.0750879	0.193954	-0.00408848
35	1	-0.0750879	0.193954	-0.00408848
36	0	-0.0752454	0.236256	-0.00842804
36	1	-0.0752454	0.236256	-0.00842804
37	0	-0.0762526	-0.293509	-0.00129579
37	1	-0.0762526	-0.293509	-0.00129579
38	0	-0.0770163	0.0193606	-0.00162207
38	1	-0.0770163	0.0193606	-0.00162207
39	0	-0.0761977	-0.267771	-0.000535811
39	1	-0.0761977	-0.267771	-0.000535811
40	0	-0.0778712	-0.0950405	0.00190543
40	1	-0.0778712	-0.0950405	0.00190543
41	0	-0.0784383	-0.230862	0.00266338
41	1	-0.0784383	-0.230862	0.00266338
42	0	-0.0771708	0.166669	0.00558456
42	1	-0.0771708	0.166669	0.00558456
43	0	-0.0775229	0.032623	0.00393801
43	1	-0.0775229	0.032623	0.00393801
44	0	-0.0767105	0.257284	0.0074115
44	1	-0.0767105	0.257284	0.0074115
45	0	-0.0759236	0.430212	0.00476996
45	1	-0.0759236	0.430212	0.00476996
46	0	-0.0764092	0.51573	0.0033876
46	1	-0.0764092	0.51573	0.0033876
47	0	-0.0752872	0.665118	-0.000738112
47	1	-0.0752872	0.665118	-0.000738112
