SURF	Channel	ExtraDelay(ns)
11	7	0
11	3	0.0319931
5	5	0.134206
5	1	0.17784
10	7	0.0205523
10	3	0.0938032
4	1	0.0727874
4	5	0.105118
11	5	0.0566702
11	1	0.109493
4	7	0.123398
4	3	0.14549
10	5	0.0222918
10	1	0.0402671
5	7	0.0876548
5	3	0.116788
11	6	0.00219243
11	2	0.0883473
5	4	0.0198643
5	0	0.017552
10	6	-0.15
10	2	-0.0597426
4	4	0.0274343
4	0	0.0683016
11	4	-0.0471616
11	0	0.069358
4	6	-0.00183828
4	2	0.0177942
10	4	0.0439211
10	0	0.0257512
5	6	0.000111885
5	2	0.0488505
9	5	0.0526573
9	1	0.344542
3	7	0.077458
3	3	0.160341
8	5	0.0407427
8	1	0.304441
2	7	0.101596
2	3	0.286722
8	7	0.0815477
8	3	0.319508
3	5	0.0951958
3	1	0.333903
9	7	0.122781
9	3	0.342879
2	5	0.0661613
2	1	0.28086
9	4	0.088749
9	0	0.242332
3	6	0.00636742
3	2	0.233036
8	4	0.0313022
8	0	0.231706
2	6	0.033086
2	2	0.294039
8	6	0.15
8	2	0.318202
3	4	0.00852401
3	0	0.289117
9	6	0.000233934
9	2	0.269725
2	4	0.0267468
2	0	0.323376
6	7	-0.00968127
6	3	0.236072
0	5	0.131001
0	1	0.291295
7	7	0.0460149
7	3	0.211554
1	5	0.0553142
1	1	0.340365
6	5	0.053326
6	1	0.256409
1	7	0.0188456
1	3	0.238857
7	5	0.0767456
7	1	0.251732
0	7	0.0118539
0	3	0.152649
6	6	0.0381375
6	2	0.246744
0	4	-0.00117885
0	0	0.279965
7	6	0.0573987
7	2	0.317539
1	4	0.0211698
1	0	0.264958
6	4	0.0106452
6	0	0.298428
1	6	-0.01382
1	2	0.240508
7	4	-0.0147542
7	0	0.214443
0	6	-0.361915
0	2	0.226191
