Ant. #	V/H	SURF #	SURF Ch #	T[300K]	T_sys	PED[300K]	Conv slope (dB/mV)	
1	0	5	0	395	93	766.357	0.0393523
2	0	7	0	388.8	88.8	747.937	0.0409139	
3	0	6	0	394.91	94.91	738.974	0.0393523	
4	0	1	0	396.04	96.04	758.512	0.0387606	
5	0	5	1	399.54	99.54	736.189	0.039655	
6	0	7	1	397.21	97.21	727.38	0.039655	
7	0	6	1	398.47	98.47	712.985	0.0393523	
8	0	1	1	390.17	90.17	751.194	0.0409139	
9	0	0	0	392.47	92.47	730.179	0.0393523	
10	0	2	0	393.28	93.28	726.539	0.0399624	
11	0	3	0	396.54	96.54	726.753	0.0399624	
12	0	4	0	393.04	93.04	743.04	0.0373562	
13	0	0	1	394.05	94.05	748.571	0.0393523	
14	0	2	1	389.36	89.36	710.182	0.0405918	
15	0	3	1	396.18	96.18	713.457	0.0399624	
16	0	4	5	392.21	92.21	718.489	0.0387606
17	0	0	2	389.62	89.62	725.847	0.0387606
18	0	5	2	391.7	91.7	724.073	0.0390542
19	0	2	2	397.66	97.66	744.859	0.0387606
20	0	7	2	390.18	90.18	724.994	0.0384713
21	0	3	2	392.15	92.15	722.363	0.0387606
22	0	6	2	392.92	92.92	718.177	0.0387606
23	0	4	2	391.54	91.54	715.906	0.0381863
24	0	1	2	392.89	92.89	738.274	0.0381863
25	0	0	3	396.54	96.54	723.083	0.0390542
26	0	5	3	392.63	92.63	722.825	0.0393523
27	0	2	3	394.62	94.62	731.264	0.0381863
28	0	7	3	393.5	93.5	732.67	0.0399624
29	0	3	3	395.58	95.58	740.726	0.0384713
30	0	6	3	394.17	94.17	774.197	0.0399624
31	0	4	3	393.67	93.67	712.134	0.0456208
32	0	1	3	393.58	93.58	774.513	0.0393523
33	0	8	0	389.02	89.02	721.389	0.0363039
34	0	9	0	392.65	92.65	693.361	0.0384713
35	0	8	1	390.09	90.09	700.395	0.0464428
36	0	9	1	387.69	87.69	686.109	0.0390542
37	0	8	2	392.66	92.66	700.723	0.0399624
38	0	9	2	395.46	95.46	789.139	0.0399624
39	0	8	3	391.12	91.12	712.172	0.0393523
40	0	9	3	392.3	92.3	728.906	0.0381863
1	1	5	4	436.15	136.15	874.335	0.0409139
2	1	7	4	437.24	137.24	912.264	0.0409139
3	1	6	4	438.79	138.79	881.927	0.039655
4	1	1	4	438.55	138.55	881.94	0.0409139
5	1	5	5	432.74	132.74	886.835	0.0402746
6	1	7	5	455.3	155.3	834.968	0.0433206
7	1	6	5	446.59	146.59	829.978	0.0419118
8	1	1	5	437.38	137.38	904.466	0.0409139
9	1	0	4	426.74	126.74	860.013	0.0399624
10	1	2	4	444.56	144.56	896.742	0.0415738
11	1	3	4	441.75	141.75	899.923	0.0409139
12	1	4	4	437.03	137.03	892.903	0.0409139
13	1	0	5	439.8	139.8	879.213	0.0412412
14	1	2	5	429.74	129.74	897.032	0.0399624
15	1	3	5	441.63	141.63	887.037	0.0405918
16	1	4	1	433.27	133.27	893.736	0.044441
17	1	0	6	444.77	144.77	935.801	0.0405918
18	1	5	6	440.58	140.58	903.392	0.0405918
19	1	2	6	444.12	144.12	917.461	0.0440612
20	1	7	6	443.73	143.73	899.716	0.0415738
21	1	3	6	444.11	144.11	838.871	0.04
22	1	6	6	438.74	138.74	905.083	0.0409139
23	1	4	6	439.44	139.44	937.719	0.0409139
24	1	1	6	444.87	144.87	897.645	0.04
25	1	0	7	443.5	143.5	949.894	0.0405918
26	1	5	7	441.44	141.44	932.316	0.0409139
27	1	2	7	445.15	145.15	928.508	0.0405918
28	1	7	7	445.54	145.54	904.818	0.0433206
29	1	3	7	441.41	141.41	937.976	0.0399624
30	1	6	7	446.27	146.27	950.85	0.0409139
31	1	4	7	443.59	143.59	932.876	0.0399624
32	1	1	7	446.18	146.18	928.689	0.039655
33	1	8	4	447.11	147.11	843.668	0.0422554
34	1	9	4	453.76	153.76	914.794	0.0415738
35	1	8	5	456.55	156.55	874.096	0.0422554
36	1	9	5	446.74	146.74	855.216	0.0412412
37	1	8	6	453.4	153.4	811.493	0.0429596
38	1	9	6	450.01	150.01	863.644	0.0426046
39	1	8	7	449.95	149.95	857.978	0.0429596
40	1	9	7	449.63	149.63	923.778	0.0405918
