#Ant	dt		dr		dphi	dz
0  -0.00208388 -0.00973342 -0.00434565 -0.00228511
1  -0.0163428 -0.0216231 -0.00490964 0.00603895
2  -0.040003 -0.0245167 -0.0102486 0.037426
3  -0.0139702 -0.0156838 -0.0029781 0.0121189
4  -0.0396799 -0.0203096 0.00894007 0.0225113
5  -0.0153193 -0.0139406 0.0109039 -0.00412629
6  -0.0183659 -0.0104158 0.00281874 0.0139798
7  -0.00773425 -0.00080932 0.00101149 0.00282339
8  0.060689 0.0137845 -0.00358356 -0.0386704
9  -0.0145358 -0.0169953 -0.00109282 0.0153422
10  0.040736 -0.0034607 -0.00473637 -0.0273616
11  -0.0392575 -0.0229176 0.000326676 0.0123599
12  0.0636184 0.0099946 0.0002319 -0.0510825
13  -0.0398452 -0.0189395 0.00096348 0.0325525
14  0.0252167 -0.00178758 0.00704063 -0.0150955
15  -0.0337206 -0.0110573 0.00223587 0.0257025
16  -0.00292 -0.00583084 0.00710171 -0.0173777
17  0.00583141 0.00262237 0.00798385 -0.00971185
18  -0.00217016 -0.00409533 0.0106521 0.00441014
19  0.0264778 0.00198318 0.0102774 -0.0144952
20  -0.028435 -0.0180649 0.0077053 0.0208716
21  0.0032032 -0.00665125 0.00479933 0.0127291
22  -0.000438139 -0.00685726 0.00654808 0.0129603
23  0.0263818 0.00295951 0.00232781 -0.0192418
24  0.0165878 0.000515752 0.00246626 -0.0147517
25  0.024934 0.00090356 0.00415332 -0.0195458
26  0.0113068 -0.0029122 0.00170899 -0.000653244
27  0.0432462 0.0056808 0.00179375 -0.0346421
28  -0.0269934 -0.0154496 0.000577395 0.0127171
29  -0.00855534 -0.00894776 -0.000621514 0.00814812
30  -0.00421094 -0.00548469 0.00133776 0.00680789
31  0.00609209 -0.00163912 0.00421048 0.00309247
32  -0.490555 0.194947 -0.00750288 -0.0814857
33  -0.494036 0.132784 -0.0106202 -0.192315
34  -0.491355 0.161535 0.0061608 -0.121251
35  -0.126229 0.130656 0.00851912 0.0915943
36  -0.49946 0.204199 0.00866235 -0.0557838
37  -0.464464 0.126558 -0.00643455 -0.161533
38  -0.499576 0.135452 0.0136998 -0.114535
39  -0.462507 0.186471 0.0153541 -0.102535
