SURF	Chan	Chip	Ant	Pol	Peak	RMS	mv/count
0	0	0	9	V	360.8	47.0	0.942
0	0	1	9	V	393.4	54.8	0.864
0	0	2	9	V	387.9	54.1	0.876
0	0	3	9	V	394.6	58.6	0.861
0	1	0	13	V	315.7	44.6	1.077
0	1	1	13	V	354.6	49.1	0.959
0	1	2	13	V	342.0	48.0	0.994
0	1	3	13	V	358.3	53.8	0.949
0	2	0	17	V	340.7	59.7	0.998
0	2	1	17	V	366.8	60.4	0.927
0	2	2	17	V	362.8	61.1	0.937
0	2	3	17	V	383.2	59.0	0.887
0	3	0	25	V	382.2	52.4	0.889
0	3	1	25	V	419.3	60.4	0.811
0	3	2	25	V	400.9	54.3	0.848
0	3	3	25	V	420.6	64.2	0.808
0	4	0	9	H	372.1	51.6	0.914
0	4	1	9	H	403.8	51.9	0.842
0	4	2	9	H	387.3	51.3	0.878
0	4	3	9	H	409.6	58.3	0.830
0	5	0	13	H	317.3	42.7	1.071
0	5	1	13	H	358.2	50.3	0.949
0	5	2	13	H	332.6	47.5	1.022
0	5	3	13	H	357.1	49.6	0.952
0	6	0	17	H	412.2	57.6	0.825
0	6	1	17	H	454.3	63.1	0.748
0	6	2	17	H	441.0	60.4	0.771
0	6	3	17	H	467.2	57.9	0.728
0	7	0	25	H	349.8	47.5	0.972
0	7	1	25	H	387.2	54.8	0.878
0	7	2	25	H	365.9	50.9	0.929
0	7	3	25	H	403.6	55.6	0.842
1	0	0	1	V	319.1	46.9	1.065
1	0	1	1	V	318.0	49.4	1.069
1	0	2	1	V	331.0	49.3	1.027
1	0	3	1	V	326.3	46.6	1.042
1	1	0	5	V	305.7	42.7	1.112
1	1	1	5	V	315.5	44.3	1.077
1	1	2	5	V	311.6	42.4	1.091
1	1	3	5	V	315.3	44.6	1.078
1	2	0	18	V	366.9	53.9	0.926
1	2	1	18	V	380.0	56.2	0.895
1	2	2	18	V	382.9	49.0	0.888
1	2	3	18	V	383.1	56.0	0.887
1	3	0	26	V	406.2	55.0	0.837
1	3	1	26	V	413.6	58.4	0.822
1	3	2	26	V	411.3	54.8	0.827
1	3	3	26	V	416.0	60.3	0.817
1	4	0	1	H	333.0	47.9	1.021
1	4	1	1	H	343.5	49.5	0.989
1	4	2	1	H	349.0	46.5	0.974
1	4	3	1	H	348.4	46.7	0.976
1	5	0	5	H	295.2	39.0	1.152
1	5	1	5	H	301.2	44.1	1.129
1	5	2	5	H	305.1	41.8	1.114
1	5	3	5	H	301.4	44.1	1.128
1	6	0	18	H	419.6	56.1	0.810
1	6	1	18	H	432.8	56.3	0.785
1	6	2	18	H	432.8	54.6	0.785
1	6	3	18	H	436.4	60.7	0.779
1	7	0	26	H	376.9	49.9	0.902
1	7	1	26	H	384.9	49.4	0.883
1	7	2	26	H	385.1	49.4	0.883
1	7	3	26	H	402.1	54.0	0.845
2	0	0	10	V	377.7	55.9	0.900
2	0	1	10	V	378.4	51.6	0.898
2	0	2	10	V	380.5	58.2	0.893
2	0	3	10	V	388.1	52.0	0.876
2	1	0	14	V	321.3	44.0	1.058
2	1	1	14	V	321.5	42.8	1.057
2	1	2	14	V	328.5	49.6	1.035
2	1	3	14	V	338.1	44.6	1.005
2	2	0	19	V	359.1	58.8	0.946
2	2	1	19	V	362.6	46.8	0.937
2	2	2	19	V	368.6	57.4	0.922
2	2	3	19	V	367.5	58.1	0.925
2	3	0	27	V	411.5	58.1	0.826
2	3	1	27	V	420.6	66.3	0.808
2	3	2	27	V	417.6	62.4	0.814
2	3	3	27	V	434.7	65.9	0.782
2	4	0	10	H	356.5	52.6	0.953
